,Mitsukaido,Kamaniwa,Hirakata,Ishii,Sanuki,,,,,,,,
2015/9/6 0:00,68.51,-1,65.86,35.85,2.7,,,,,,,,
2015/9/6 1:00,68.51,-1,65.86,35.85,2.7,,,,,,,,
2015/9/6 2:00,67.6,-1,65.86,35.85,2.7,,,,,,,,
2015/9/6 3:00,67.6,-1,66.69,34.65,2.7,,,,,,,,
2015/9/6 4:00,66.7,-1,66.69,34.65,2.7,,,,,,,,
2015/9/6 5:00,66.7,-1,66.69,34.65,2.7,,,,,,,,
2015/9/6 6:00,66.7,-1,66.69,34.65,2.7,,,,,,,,
2015/9/6 7:00,66.7,-1,66.69,34.65,2.61,,,,,,,,
2015/9/6 8:00,66.7,-1,65.86,34.65,2.7,,,,,,,,
2015/9/6 9:00,66.7,-1,65.86,34.65,2.79,,,,,,,,
2015/9/6 10:00,66.7,-1,65.86,34.65,2.79,,,,,,,,
2015/9/6 11:00,65.8,-1,65.03,34.65,2.79,,,,,,,,
2015/9/6 12:00,65.8,-1,65.03,33.46,2.79,,,,,,,,
2015/9/6 13:00,65.8,-1,65.03,33.46,2.79,,,,,,,,
2015/9/6 14:00,65.8,-1,65.86,33.46,2.79,,,,,,,,
2015/9/6 15:00,65.8,-1,65.86,33.46,2.97,,,,,,,,
2015/9/6 16:00,65.8,-1,65.86,33.46,3.06,,,,,,,,
2015/9/6 17:00,65.8,-1,65.86,33.46,3.06,,,,,,,,
2015/9/6 18:00,65.8,-1,66.69,33.46,3.06,,,,,,,,
2015/9/6 19:00,65.8,-1,71.78,33.46,3.16,,,,,,,,
2015/9/6 20:00,65.8,-1,70.92,33.46,3.25,,,,,,,,
2015/9/6 21:00,66.7,-1,70.06,34.65,3.35,,,,,,,,
2015/9/6 22:00,70.35,-1,70.06,34.65,3.55,,,,,,,,
2015/9/6 23:00,77.95,-1,70.06,35.85,5.12,,,,,,,,
2015/9/7 0:00,78.93,-1,70.06,35.85,9.09,,,,,,,,
2015/9/7 1:00,78.93,-1,70.92,37.08,9.59,,,,,,,,
2015/9/7 2:00,78.93,-1,72.65,38.32,10.82,,,,,,,,
2015/9/7 3:00,78.93,-1,74.4,39.59,11.5,,,,,,,,
2015/9/7 4:00,78.93,-1,75.28,40.88,11.16,,,,,,,,
2015/9/7 5:00,78.93,-1,76.17,42.18,11.16,,,,,,,,
2015/9/7 6:00,78.93,-1,76.17,44.86,10.44,,,,,,,,
2015/9/7 7:00,79.91,-1,77.07,46.23,9.76,,,,,,,,
2015/9/7 8:00,81.9,-1,77.96,46.23,8.93,,,,,,,,
2015/9/7 9:00,82.9,-1,78.87,47.62,7.4,,,,,,,,
2015/9/7 10:00,82.9,-1,79.78,47.62,6.82,,,,,,,,
2015/9/7 11:00,82.9,-1,80.69,47.62,6.82,,,,,,,,
2015/9/7 12:00,82.9,-1,81.61,46.23,6.82,,,,,,,,
2015/9/7 13:00,84.92,-1,82.54,46.23,6.96,,,,,,,,
